sample_id,formula,num_atoms,mp20_e_hull,eqv3_e_total,eqv3_e_per_atom,eqv3_e_hull_raw,eqv3_e_hull_mp2020
mp-4653,Y(SiIr)2,10,0.0,-80.89073944091797,-8.089073944091798,0.0032010219082021507,0.0032010219082021507
mp-1572,GaSe,8,0.0,-30.809350967407227,-3.8511688709259033,0.23823019907409648,0.002230199074096717
mp-570236,Pr(PRu)2,10,0.0,-78.31399536132812,-7.831399536132812,0.003557551867191755,0.003557551867191755
mp-1208122,Tm2NiRuO6,20,0.0517963967499977,-147.2703094482422,-7.363515472412109,0.7331674298378896,0.06686742983788996
mp-6543,VAg(PSe3)2,20,0.0090355761499969,-92.53466033935547,-4.626733016967774,0.2972587831822233,0.014058783182223422
mp-1182867,AlWO4,12,0.0,-90.71786499023438,-7.559822082519531,1.2054789574804676,0.007812290813800971
mp-1220083,Ni9(SnS)2,26,0.0041428207692311,-143.19041442871094,-5.507323631873498,0.08144993735727102,0.0040653219726562995
mp-1106337,MnPbO3,20,0.0769999478846257,-128.55335998535156,-6.4276679992675785,0.8312696486170195,0.08546964861702033
mp-7881,Sr(CdGe)2,10,0.0,-28.60037612915039,-2.860037612915039,0.007608147084960937,0.007608147084960937
mp-1186961,Sc2TlHg,16,0.0,-66.89559173583984,-4.18097448348999,0.002171969010009711,0.002171969010009711
mp-1218090,Ta3AlFe8,12,0.0298446724999994,-109.65520477294922,-9.137933731079102,0.03419191225422935,0.03419191225422935
mp-756762,TbTmO3,20,0.0797585176250006,-166.72201538085938,-8.336100769042968,0.49287584308203236,0.08067584308203202
mp-1287570,CaMn2O4,28,0.0377217160714273,-203.14219665527344,-7.255078451974051,0.9244621940973756,0.055319336954518405
mp-19764,Pr3In,4,0.0,-18.196086883544922,-4.5490217208862305,-0.0021946233862308873,-0.0021946233862308873
mp-23095,Ca3Cu2(ClO2)2,22,0.0099745459090918,-118.34196472167969,-5.379180214621804,0.3717493176509228,0.010294772196377089
mp-1221431,MoPd2Rh,12,0.0656380829166662,-86.58483123779297,-7.215402603149414,0.0570699276839175,0.0570699276839175
mp-1018048,LaNiC2,8,0.0,-60.34348678588867,-7.542935848236084,0.0042956117639159075,0.0042956117639159075
mp-12052,Er4Sb3,28,0.0270775871428581,-148.95770263671875,-5.319917951311384,0.11154764154575858,0.02926192726004384
mp-1223727,InTe5Pb4,20,0.0199585430000004,-73.9088363647461,-3.6954418182373048,0.22980259276269566,0.018802592762695802
mp-1173103,TbCuTe2,4,0.0189091599999997,-18.55145263671875,-4.6378631591796875,0.23229359082031298,0.02129359082031268
mp-20883,Fe3Sn,8,0.0358386862500008,-58.4681510925293,-7.308518886566162,0.04775245093383873,0.04775245093383873
mp-1188318,SiH8,18,0.0097013961111112,-64.71942901611328,-3.5955238342285156,0.1658753457714841,0.014653123549262403
mp-567419,SrLa6OsI12,60,0.0,-266.864990234375,-4.447749837239583,0.2250629967604123,-0.0023370032395879647
mp-1077347,UPt4Au,24,0.0,-168.39588928222656,-7.01649538675944,-0.0037253884261074788,-0.0037253884261074788
mp-1176513,Na3NO3,14,0.0168997179464209,-68.45793914794922,-4.889852796282087,0.3189906391643422,0.0245620677357703
mp-1219007,SmGdS2,12,0.0,-105.75012969970703,-8.81251080830892,0.25779521919108106,0.006295219191081003
mp-1187412,Th(NiH)2,5,0.0537923854555488,-27.68454933166504,-5.536909866333008,0.12705030512255266,0.05545030512255256
mp-753184,Al(CoO2)2,28,0.031937336071425,-184.41055297851562,-6.586091177804129,0.9022204511244416,0.041649022553012394
mp-1188996,Ce5Bi3,16,0.0315403153125002,-91.87039184570312,-5.741899490356445,0.03984948995605464,0.03984948995605464
mp-1228392,Ba2CePbO6,30,0.0,-203.34190368652344,-6.778063456217448,0.4133019117825514,0.001101911782551035
mp-11118,CsPrCdSe3,24,0.0,-100.94480895996094,-4.206033706665039,0.23452818916829443,-0.0014718108317053336
mp-601401,KCSN,16,0.0429296740972233,-97.39944458007812,-6.087465286254883,0.26408561888400683,0.04808561888400664
mp-1069765,SmSi3Rh,10,0.0,-64.6456298828125,-6.46456298828125,0.0026202957187493325,0.0026202957187493325
mp-1103520,Cs2SiS3,24,0.0,-105.87577819824219,-4.411490758260091,0.2514631950732422,-3.680492675783853e-05
mp-19877,ZrNi2Sn,16,0.0488205299218744,-104.41304779052734,-6.525815486907959,0.04936649801391546,0.04936649801391546
mp-756201,LiVFeO4,28,0.0103230422618878,-191.7368927001953,-6.847746167864118,0.9807788829692301,0.02306459725494392
mp-863701,Ho2Mg,12,0.0037171716666666,-43.68963623046875,-3.640803019205729,-0.0033514192057286785,-0.0033514192057286785
mp-1223919,IrRh,6,0.001037209999998,-48.68244552612305,-8.113740921020508,0.0016489589794908,0.0016489589794908
mp-1077442,CeAu2,12,0.0,-58.017459869384766,-4.8347883224487305,-0.07100631078206376,-0.07100631078206376
mp-19918,GdGe,8,0.0,-81.64923858642578,-10.206154823303223,0.0005370516967779793,0.0005370516967779793
mp-867770,BaHg3,8,0.0,-9.088768005371094,-1.1360960006713867,0.010074113078613278,0.010074113078613278
mp-1225039,DyYC4,12,0.0622392922013901,-98.21917724609375,-8.184931437174479,0.0643612177699655,0.0643612177699655
mp-1103721,Eu2Zn3Ge,48,0.0162213499999994,-251.77452087402344,-5.245302518208821,0.01812867762451198,0.01812867762451198
mp-1079428,Sm(BIr)2,40,0.0,-315.63995361328125,-7.890998840332031,0.001230382667968044,0.001230382667968044
mp-1183898,Eu2CuIr,16,0.0606570067500005,-137.620849609375,-8.601303100585938,0.058171326289063074,0.058171326289063074
mp-1184576,HfBeIr2,16,0.0165117475000027,-137.09902954101562,-8.568689346313477,0.01684275368652699,0.01684275368652699
mp-1228433,Ba2Na(SnAs)6,30,0.0,-128.03399658203125,-4.267799886067708,0.002763156598962091,0.002763156598962091
mp-1205633,Cs3FeF6,20,0.0468957740000002,-92.25517272949219,-4.612758636474609,0.55144848252539,0.048648482525390335
mp-1173960,Li3Co2O5,20,0.0276740460000004,-109.772705078125,-5.48863525390625,0.7491991535937501,0.07809915359375008
